,latitude,longitude,time,tags
9844,37.726785452,-122.0813479,2017-07-25 18:33:43,cigarette
9847,37.726805233,-122.081368351,2017-07-25 18:33:51,cigarette
9848,37.726688557,-122.081372794,2017-07-25 18:32:59,paper+receipt+cattlemens
9849,37.726976769,-122.08141244,2017-07-25 18:35:05,foil
9850,37.72696978,-122.081429558,2017-07-25 18:35:15,cigarette
9851,37.726952964,-122.081407746,2017-07-25 18:34:47,paper
9852,37.72696978,-122.081429558,2017-07-25 18:36:40,lays+potatochips
9853,37.816098779,-122.206360214,2017-07-24 20:40:11,plastic
9854,37.816097313,-122.206322998,2017-07-24 20:39:22,lego
9855,37.816539679,-122.205625332,2017-07-24 20:35:34,safeway+paper+monopoly
9856,37.84938452,-122.243653167,2017-07-24 21:53:46,wrapper+hostess+cupcakes+plastic
9857,37.816097313,-122.206322998,2017-07-24 20:39:21,lego
9859,37.81592276,-122.207839927,2017-07-24 20:45:01,plastic+bottlecap
9860,37.81592276,-122.207839927,2017-07-24 20:45:12,plastic
9861,37.84938452,-122.243653167,2017-07-24 21:53:52,kelloggs+poptarts
9862,37.849554731,-122.243862855,2017-07-24 21:54:17,7eleven
9863,37.815813845,-122.20697543,2017-07-24 20:40:20,sunkist
9864,37.816200248,-122.205207878,2017-07-24 20:32:33,bottlecap+corona
9865,37.815703289,-122.202673847,2017-07-24 14:22:55,glass
9866,37.815858055,-122.2026546,2017-07-24 14:23:56,starburst
9867,37.815858055,-122.2026546,2017-07-24 14:23:58,starburst
9868,37.828440673,-122.211101366,2017-07-24 02:16:34,plastic+bottlecap
9869,37.828286205,-122.211202627,2017-07-24 01:56:40,bottlecap+corona
9870,37.828105721,-122.210952712,2017-07-24 02:16:15,hichew+wrapper
9871,37.828696528,-122.211446772,2017-07-24 02:04:19,otterpops+plastic
9872,37.828528639,-122.211376531,2017-07-24 01:54:59,glass
9873,37.82891429,-122.211565208,2017-07-24 02:03:46,bottlecap
9874,37.816805999,-122.207707809,2017-07-24 02:41:05,bottlecap+plastic
9875,37.828132918,-122.211080174,2017-07-24 02:04:54,bottlecap+sierranevada
9876,37.827976119,-122.210792949,2017-07-24 01:54:50,plastic+bottlecap
